source,target
caadria2019_004,Control Flow
caadria2019_004,Dataflow
caadria2019_004,Geo-Computation
caadria2019_004,Geospatial Visualization
caadria2019_004,Visual Programming
caadria2019_005,Data Analysis
caadria2019_005,Geographic Information System
caadria2019_005,Geoinformatics
caadria2019_005,Geoprocessing
caadria2019_005,Planning Automation
caadria2019_005,Planning Support System
caadria2019_005,Spatial Decision Support System
caadria2019_007,Design Diversity
caadria2019_007,Hybrid Evolutionary Algorithm
caadria2019_007,Island Model
caadria2019_007,Search Efficiency
caadria2019_007,Steady-State Replacement
caadria2019_008,Courtyard
caadria2019_008,Design Optimization
caadria2019_008,Natural Lighting
caadria2019_008,Parametric Modeling
caadria2019_008,Reflective Conversation
caadria2019_027,Building Information Modeling
caadria2019_027,Industry Foundation Classes
caadria2019_027,Interactive
caadria2019_027,Open Building Information Modeling
caadria2019_027,Virtual Reality
caadria2019_038,Building Information Modeling
caadria2019_038,CityGML
caadria2019_038,Industry Foundation Classes
caadria2019_038,Spatio Semantic Structures
caadria2019_038,Triple Graph Grammar
caadria2019_040,Attribute Information
caadria2019_040,Building Information Modeling
caadria2019_040,Existing Buildings
caadria2019_040,Preventive Maintenance
caadria2019_040,Spatial Information
caadria2019_045,3D Printing
caadria2019_045,Gcode
caadria2019_045,Grasshopper
caadria2019_045,Modeling
caadria2019_045,Simulation
caadria2019_054,Structural Grammar
caadria2019_054,Structures System
caadria2019_054,Zoning
caadria2019_070,Architecture
caadria2019_070,Climate Change
caadria2019_070,Computational Landscape Design
caadria2019_070,Ecology
caadria2019_070,Emergence
caadria2019_070,Rooftop Terrace Gardens
caadria2019_070,Urban Heat Island
caadria2019_074,Heritage Conservation
caadria2019_074,ICT
caadria2019_074,Rural Information
caadria2019_074,Rural Vitalization
caadria2019_077,Architecture
caadria2019_077,Inhabitant
caadria2019_077,Relativity
caadria2019_077,Speculative
caadria2019_077,Virtual Reality
caadria2019_080,Albedo Value
caadria2019_080,Evolutionary Algorithm
