source,target
caadria2012_001,Marc Aurel Schnabel
caadria2012_001,Yingge Qu
caadria2012_002,Maher S. Elkhaldi
caadria2012_002,Ellen Yi-Luen Do
caadria2012_003,Stylianos Dritsas
caadria2012_004,Sheng-Fen Chien
caadria2012_004,Hung-Jen Wang
caadria2012_007,Stanislav Roudavski
caadria2012_008,Heimo Schimek
caadria2012_008,Emmanuel Ruffo Ca Dominguez
caadria2012_008,Albert Wiltsche
caadria2012_008,Markus Manahl
caadria2012_010,Bharat Dave
caadria2012_010,Gwyl Jahn
caadria2012_011,Filipe Santos
caadria2012_011,Joaquim Reis
caadria2012_011,Pedro Lopes
caadria2012_011,Alexandra C. Paio
caadria2012_011,Sara Eloy
caadria2012_011,Vasco Moreira Rato
caadria2012_013,Maha Zeini Al-Saati
caadria2012_013,David Botta
caadria2012_013,Robert F. Woodbury
caadria2012_014,Deborah Benros
caadria2012_014,José Pinto Duarte
caadria2012_014,Sean Hanna
caadria2012_018,Weixin Huang
caadria2012_018,Weiguo Xu
caadria2012_021,Maha Zeini Al-Saati
caadria2012_021,David Botta
caadria2012_021,Robert F. Woodbury
caadria2012_022,Walaiporn Nakapan
caadria2012_022,Supattra Radsiri
caadria2012_024,Sigrid Brell-Cokcan
caadria2012_024,Johannes Braumann
caadria2012_024,Baris Cokcan
caadria2012_024,Martin Kleindienst
caadria2012_025,Johannes Braumann
caadria2012_025,Sigrid Brell-Cokcan
caadria2012_029,Florina Dutt
caadria2012_029,Subhajit Dasd
caadria2012_031,Guohua Ji
caadria2012_031,Ying Xu
caadria2012_031,Ying Wang
caadria2012_032,Kermin Chok
caadria2012_036,Vignesh Srinivas Kaushik
caadria2012_036,Patrick Janssen
caadria2012_038,Kody Kato
caadria2012_038,Hyoung-June Park
caadria2012_040,Bianca Toth
caadria2012_040,Stefan Boeykens
caadria2012_040,André Chaszar
caadria2012_040,Patrick Janssen
caadria2012_040,Rudi Stouffs
caadria2012_041,Yifeng Lin
caadria2012_041,Shanshan Shen
caadria2012_042,Anastasia Globa
caadria2012_042,Michael Donn
caadria2012_043,Wei-Hsien Lan
caadria2012_043,Teng-Wen Chang
caadria2012_045,Chin Koi Khoo
caadria2012_045,Flora Dilys Salim
caadria2012_046,Surapong Lertsithichai
caadria2012_049,Balaji Rajasekaran
caadria2012_049,T. Brahmani
caadria2012_049,C. Reshma
caadria2012_051,Yiping Wang
caadria2012_051,Wei Zhang
caadria2012_052,Jeremy J. Ham
caadria2012_052,Marc Aurel Schnabel
caadria2012_058,Linda Matthews
caadria2012_058,Gavin Perin
caadria2012_062,Finnian Warnock
caadria2012_062,Stanislav Roudavski
caadria2012_066,Sumbul Ahmad
caadria2012_067,Vincent Delfosse
caadria2012_067,John Schrayen
caadria2012_067,Roland Juchmes
caadria2012_067,Pierre Leclercq
caadria2012_069,Sawako Kaijima
caadria2012_071,Jieun Park
