source,target
caadria2011_001,Rizal Muslimin
caadria2011_002,Marcelo Bernal
caadria2011_003,Daniel Davis
caadria2011_003,Jane Burry
caadria2011_003,Mark Burry
caadria2011_004,Benjamin P. Coorey
caadria2011_004,Julie R. Jupp
caadria2011_005,Aya Okabe
caadria2011_005,Tsukasa Takenaka
caadria2011_006,Jason J. Kim
caadria2011_006,Hyoung-June Park
caadria2011_007,Kaon Ko
caadria2011_007,Salvator-John Liotta
caadria2011_008,Xiaofang Yuan
caadria2011_008,Ji-Hyun Lee
caadria2011_008,Yu Wu
caadria2011_009,Jonathon Anderson
caadria2011_009,Ming-Xi Tang
caadria2011_010,Iestyn Jowers
caadria2011_010,Miquel Prats
caadria2011_010,Nieves Pedreira
caadria2011_010,Alison Mcay
caadria2011_010,Steve Garner
caadria2011_011,M. Kamil Sharaidin
caadria2011_011,Flora Dilys Salim
caadria2011_012,Biao Li
caadria2011_012,Rong Li
caadria2011_013,Karine Kozlova
caadria2011_013,Roham M. Sheikholeslami
caadria2011_013,Lyn Bartram
caadria2011_013,Robert F. Woodbury
caadria2011_014,Chin Koi Khoo
caadria2011_014,Flora Dilys Salim
caadria2011_015,Daniel Davis
caadria2011_015,Flora Dilys Salim
caadria2011_015,Jane Burry
caadria2011_016,Russell Loveridge
caadria2011_017,Stuart Hanafin
caadria2011_017,Sambit Datta
caadria2011_017,Bernard Rolfe
caadria2011_018,Thi Lan Truc Nguyen
caadria2011_018,Beng-Kiang Tan
caadria2011_019,Ju Hyun Lee
caadria2011_019,Mijeong Kim
caadria2011_020,Werner Lonsing
caadria2011_020,Peter Anders
caadria2011_021,Russell Lowe
caadria2011_021,Jules Cromarty
caadria2011_021,Richard Goodwin
caadria2011_022,Russell Lowe
caadria2011_022,Mark Hedley
caadria2011_022,Richard Goodwin
caadria2011_023,Erik M. Champion
caadria2011_023,Andrew Dekker
caadria2011_024,Walaiporn Nakapan
caadria2011_024,Ning Gu
caadria2011_025,Shun Watanabe
caadria2011_026,Tomás Dorta
caadria2011_026,Yehuda E. Kalay
caadria2011_026,Annemarie Lesage
caadria2011_026,Edgar Pérez
caadria2011_027,Hao Hua
caadria2011_027,Ting-Li Jia
caadria2011_028,Annemarie Lesage
