source,target
caadria2011_001,Folding
caadria2011_001,Knot
caadria2011_001,Weaving
caadria2011_002,Decision Making
caadria2011_002,Design Automation
caadria2011_002,Extensibility
caadria2011_002,Knowledge Based Design
caadria2011_002,Performance
caadria2011_003,End-User Programming
caadria2011_003,Logic Programming
caadria2011_003,Parametric Modeling
caadria2011_003,Practice Based Research
caadria2011_004,Design Model
caadria2011_004,Design Process
caadria2011_004,Evaluation
caadria2011_004,Parametric Design
caadria2011_004,Synthesis
caadria2011_005,Computational Landscape Design
caadria2011_005,Optimization
caadria2011_005,Parameter
caadria2011_005,Sensor Network System
caadria2011_005,Tools Customization
caadria2011_006,Building Information Modeling
caadria2011_006,Digital Catalogue
caadria2011_006,Korean Joinery System
caadria2011_007,Academic Workshop
caadria2011_007,Computational Design
caadria2011_007,Design-Build
caadria2011_007,Digital Fabrication
caadria2011_007,Tea House
caadria2011_008,Cultural Hint
caadria2011_008,Design Intention
caadria2011_008,Ice-Ray
caadria2011_008,Lowest Level Constituent
caadria2011_008,Shape Grammar
caadria2011_009,3D Printing
caadria2011_009,Manufacturing Process
caadria2011_009,Mould Making
caadria2011_009,Parametric Modeling
caadria2011_009,Plastic Casting
caadria2011_010,Computer Aided Design
caadria2011_010,Design Exploration
caadria2011_010,Design Generation
caadria2011_010,Eye-Tracking
caadria2011_010,Shape Interpretation
caadria2011_011,Affordability
caadria2011_011,Low-Tech
caadria2011_011,Performative Design
caadria2011_011,Responsive Design
caadria2011_012,Evolve
caadria2011_012,Genetic Algorithm
caadria2011_012,Multi-Agent
caadria2011_012,Sunlight
caadria2011_012,Terrain Context
caadria2011_013,Computer Aided Design Systems
caadria2011_013,Graph Visualization
caadria2011_013,Node-Link Diagrams
caadria2011_013,Visual Interaction
caadria2011_013,Visual Interface
caadria2011_014,Elastic
caadria2011_014,Responsive
caadria2011_014,Soft
caadria2011_014,Transformable
caadria2011_015,Education
caadria2011_015,Parametric Design
caadria2011_015,Physical Interaction
caadria2011_015,Responsive Architecture
caadria2011_016,Analysis
caadria2011_016,Design
caadria2011_016,Fabrication
caadria2011_016,Materiality
caadria2011_016,Performance
caadria2011_017,Biomimicry
caadria2011_017,Branching Structures
caadria2011_017,Lindenmayer Systems
caadria2011_017,Parametric Modeling
