source,target
caadria2022_100,Farzaneh Oghazian
caadria2022_100,Felecia Davis
caadria2022_100,Nathan Brown
caadria2022_102,Daniel Yu
caadria2022_102,Jack Barton
caadria2022_102,Kate Dunn
caadria2022_102,Matthias Hank Haeusler
caadria2022_102,Nicole Gardner
caadria2022_102,Tracy Huang
caadria2022_112,Kenneth Tracy
caadria2022_112,Sihan Wang
caadria2022_112,Yang Luo
caadria2022_112,Ying Yi Tan
caadria2022_112,Yiyao Guo
caadria2022_114,Jiaqi Xu
caadria2022_114,Jinru Lin
caadria2022_114,Siqi Wang
caadria2022_114,Xiao Liu
caadria2022_114,Yijia Xu
caadria2022_114,Zhiyong Dong
caadria2022_115,Hadas Sopher
caadria2022_115,John S. Gero
caadria2022_115,Julie Milovanovic
caadria2022_116,Mayank Singh
caadria2022_118,Farzan Banihashemi
caadria2022_118,Roland Reitberger
caadria2022_118,Werner Lang
caadria2022_120,Yuxin Lin
caadria2022_129,Hoki Nakamura
caadria2022_129,Nao Ito
caadria2022_129,Shiho Nagamachi
caadria2022_129,Shunta Shimizu
caadria2022_129,Tomohiro Fukuda
caadria2022_129,Yuji Yamauchi
caadria2022_130,Deedee Min
caadria2022_130,Junah Yu
caadria2022_139,Bige Tuncer
caadria2022_139,Cem Ataman
caadria2022_139,Simon Perrault
caadria2022_140,Hao Zheng
caadria2022_140,Shuyi Huang
caadria2022_145,Angelos Chronis
caadria2022_145,Reinhard Koenig
caadria2022_145,Serjoscha Duering
caadria2022_145,Theresa Fink
caadria2022_148,Arastoo Khajehee
caadria2022_148,Jia Liu
caadria2022_148,Taisei Yabe
caadria2022_148,Xuanyu Lu
caadria2022_148,Yasushi Ikeda
caadria2022_152,Camiel Weijenberg
caadria2022_152,Cesar Cheng
caadria2022_152,Maciej Nisztuk
caadria2022_152,Ramanathan Subramanian
caadria2022_152,Rutvik Deshpande
caadria2022_152,Sayjel Vijay Patel
caadria2022_152,Tejas Chavan
caadria2022_153,Camiel Weijenberg
caadria2022_153,Cesar Cheng
caadria2022_153,Maciej Nisztuk
caadria2022_153,Ramanathan Subramanian
caadria2022_153,Rishan Antonio
caadria2022_153,Rutvik Deshpande
caadria2022_153,Sayjel Vijay Patel
caadria2022_153,Tejas Chavan
caadria2022_153,Yuke Li
caadria2022_157,Sijie Liu
caadria2022_157,Sining Wang
caadria2022_157,Ziru Wei
caadria2022_166,Andreas Dengel
caadria2022_166,Burak Mete
caadria2022_166,Christoph Langenhan
caadria2022_166,Jessica Bielski
caadria2022_166,Klaus-Dieter Althoff
caadria2022_166,Viktor Eisenstadt
caadria2022_167,Dan Luo
caadria2022_167,Jayedi Aman
caadria2022_167,Jong Bum Kim
caadria2022_167,Timothy C Matisziw
caadria2022_169,Hang Xu
caadria2022_169,Tsung-Hsien Wang
caadria2022_172,Akito Hotta
caadria2022_172,Kensuke Hotta
caadria2022_172,Naoto Kikuzato
caadria2022_172,Takaaki Fuji
caadria2022_172,Yahan Xiao
caadria2022_175,Marcus Farr
caadria2022_176,Haruyuki Fujii
caadria2022_176,Khang Nguyen-Tran
caadria2022_176,Naya Marsatyasti
caadria2022_176,Ryo Murata
caadria2022_176,Takuya Oki
caadria2022_176,Yuval Kahlon
caadria2022_177,Tong Zhang
caadria2022_177,Yongjie Pan
caadria2022_179,Naoki Kikuchi
caadria2022_179,Nobuyoshi Yabuki
caadria2022_179,Tomohiro Fukuda
caadria2022_183,Fabio Gramazio
caadria2022_183,Hannes Mayer
caadria2022_183,Matteo Pacher
caadria2022_183,Matthias Helmreich
caadria2022_183,Matthias Kohler
caadria2022_183,Mitsuhiro Kuroki
caadria2022_183,Shinya Tsubata
caadria2022_183,Tadahiro Nakajima
caadria2022_184,Mattias Roupé
caadria2022_184,Mikael Johansson
caadria2022_184,Shahin Sateei
